default_setting_begin	type=mother_tree	hp_regen_bonus=2	mp_regen_bonus=1	default_setting_end
default_setting_begin	type=damage	damage_on_hp=200	damage_on_mp=0	default_setting_end
default_setting_begin	type=poison	skill_name=[s_area_a_speed_down]	default_setting_end
default_setting_begin	type=swamp	move_bonus=-50	default_setting_end


//Below	water	volume	(must	be	above	the	head	of	a	family)
//16_21
area_begin	name=[16_21_water1]	map_no={16;21}	type=water	water_range={Min:(-131071.984375	98303.992188	-4780.006836)	Max:(-98303.984375	131071.992188	-3780.006836)}	area_end

//16_22
area_begin	name=[16_22_water1]	map_no={16;22}	type=water	water_range={Min:(-131071.757813	131072.000000	-4780.001465)	Max:(-98303.757813	163840.000000	-3780.001465)}	area_end

//16_23
area_begin	name=[16_23_water1]	map_no={16;23}	type=water	water_range={Min:(-131071.773438	163840.000000	-4780.006348)	Max:(-98303.773438	196608.000000	-3780.006348)}	area_end

//16_24
area_begin	name=[16_24_water1]	map_no={16;24}	type=water	water_range={Min:(-131072.000000	196607.953125	-7779.996582)	Max:(-98304.000000	229375.953125	-3779.996582)}	area_end

//16_25
area_begin	name=[16_25_water1]	map_no={16;25}	type=water	water_range={Min:(-131072.000000	237205.000000	-4779.998535)	Max:(-98304.000000	262144.000000	-3779.998535)}	area_end

//17_20
area_begin	name=[17_20_water1]	map_no={17;20}	type=water	water_range={Min:(-98303.984375	65536.000000	-4780.023438)	Max:(-85503.984375	98304.000000	-3780.023438)}	area_end
area_begin	name=[17_20_water2]	map_no={17;20}	type=water	water_range={Min:(-85503.984375	65536.000000	-4780.023438)	Max:(-65535.984375	80384.000000	-3780.023438)}	area_end
area_begin	name=[17_20_water3]	map_no={17;20}	type=water	water_range={Min:(-85056.000000	86208.000000	-5824.000000)	Max:(-84416.000000	86848.000000	-3504.000000)}	area_end
area_begin	name=[17_20_water4]	map_no={17;20}	type=water	water_range={Min:(-84416.000000	86208.000000	-5824.000000)	Max:(-82944.000000	86848.000000	-5248.000000)}	area_end

//17_21
area_begin	name=[17_21_water1]	map_no={17;21}	type=water	water_range={Min:(-98304.000000	121072.000000	-4780.000000)	Max:(-88304.000000	131072.000000	-3780.000000)}	area_end
area_begin	name=[17_21_water2]	map_no={17;21}	type=water	water_range={Min:(-98304.000000	98304.000000	-4780.000000)	Max:(-96804.000000	99804.000000	-3780.000000)}	area_end
area_begin	name=[17_21_water3]	map_no={17;21}	type=water	water_range={Min:(-68536.000000	128072.000000	-4179.000000)	Max:(-65536.000000	131072.000000	-3179.000000)}	area_end
area_begin	name=[17_21_water4]	map_no={17;21}	type=water	water_range={Min:(-84032.000000	111040.000000	-5568.000000)	Max:(-83392.000000	111680.000000	-3248.000000)}	area_end
area_begin	name=[17_21_water5]	map_no={17;21}	type=water	water_range={Min:(-83392.000000	111040.000000	-5568.000000)	Max:(-81920.000000	111680.000000	-4992.000000)}	area_end

//17_22
area_begin	name=[17_22_water1]	map_no={17;22}	type=water	water_range={Min:(-98304.000000	131072.000000	-4780.000000)	Max:(-78304.000000	163840.000000	-3780.000000)}	area_end
area_begin	name=[17_22_water2]	map_no={17;22}	type=water	water_range={Min:(-69836.000000	131072.000000	-4179.000000)	Max:(-65536.000000	140072.000000	-3179.000000)}	area_end

//17_23
area_begin	name=[17_23_water1]	map_no={17;23}	type=water	water_range={Min:(-98304.000000	163840.000000	-7780.000000)	Max:(-65536.000000	196608.000000	-3780.000000)}	area_end

//17_24
area_begin	name=[17_24_water1]	map_no={17;24}	type=water	water_range={Min:(-98303.992188	196608.000000	-4779.998535)	Max:(-65535.992188	229376.000000	-3779.998535)}	area_end

//17_25
area_begin	name=[17_25_water1]	map_no={17;25}	type=water	water_range={Min:(-98303.992188	229375.984375	-4779.993164)	Max:(-65535.992188	262143.984375	-3779.993164)}	area_end

//18_14
